sample	alignments_duplicate	alignments_filtered	alignments_mapped	alignments_mate_reverse	alignments_mate_unmapped	alignments_paired	alignments_proper_pair	alignments_qc_fail	alignments_read1	alignments_read2	alignments_reverse	alignments_secondary	alignments_supplementary	alignments_total	alignments_unmapped	deletion_rate	error_rate	insertion_rate	match_rate	mismatch_rate	pairs_mapped	pairs_total	reads_mapped	reads_mapped_supplementary	reads_mapped_unique	reads_missing	reads_multimapping	reads_total	reads_unmapped	input	lane	matched	percent_matched	unmatched
human-Plate7-A1														0.0																551986		0	0.0	551986
human-Plate7-A10	5.0	33.0	33.0	16.0	9.0	42.0	0.0	0.0	21.0	21.0	16.0	0.0	0.0	42.0	9.0	0.0	41.0	0.0	2475.0	41.0	0.0	21.0	33.0	0.0	33.0	0.0	0.0	42.0	9.0	659943		21	0.0031820929989408177	659922
human-Plate7-A11	43.0	156.0	156.0	88.0	32.0	188.0	118.0	0.0	94.0	94.0	88.0	0.0	0.0	188.0	32.0	4.0	165.0	7.0	11630.0	158.0	59.0	94.0	156.0	0.0	156.0	0.0	0.0	188.0	32.0	399100		94	0.023552994237033324	399006
human-Plate7-A12														0.0																2167137		0	0.0	2167137
human-Plate7-A2	35.0	363.0	363.0	206.0	43.0	406.0	316.0	0.0	203.0	203.0	206.0	0.0	0.0	406.0	43.0	49.0	494.0	44.0	26521.0	450.0	158.0	203.0	363.0	0.0	363.0	0.0	0.0	406.0	43.0	1360799		203	0.014917706435704316	1360596
human-Plate7-A3	684.0	3607.0	3607.0	1812.0	213.0	3820.0	3384.0	0.0	1910.0	1910.0	1812.0	0.0	0.0	3820.0	213.0	210.0	4220.0	400.0	267277.0	3820.0	1692.0	1910.0	3607.0	0.0	3607.0	0.0	0.0	3820.0	213.0	1490827		1910	0.12811681033412994	1488917
human-Plate7-A4	18.0	159.0	159.0	96.0	11.0	170.0	144.0	0.0	85.0	85.0	96.0	0.0	0.0	170.0	11.0	7.0	203.0	15.0	11762.0	188.0	72.0	85.0	159.0	0.0	159.0	0.0	0.0	170.0	11.0	395423		85	0.02149596760937022	395338
human-Plate7-A5	588.0	3191.0	3191.0	1728.0	261.0	3452.0	2916.0	0.0	1726.0	1726.0	1728.0	0.0	0.0	3452.0	261.0	195.0	3939.0	390.0	235923.0	3549.0	1458.0	1726.0	3191.0	0.0	3191.0	0.0	0.0	3452.0	261.0	2204117		1726	0.07830800270584548	2202391
human-Plate7-A6	777.0	4615.0	4615.0	2338.0	247.0	4862.0	4336.0	0.0	2431.0	2431.0	2338.0	0.0	0.0	4862.0	247.0	306.0	5431.0	434.0	342402.0	4997.0	2168.0	2431.0	4615.0	0.0	4615.0	0.0	0.0	4862.0	247.0	2198977		2431	0.11055140640397786	2196546
human-Plate7-A7														0.0																1282005		0	0.0	1282005
human-Plate7-A8	89.0	556.0	556.0	303.0	62.0	618.0	488.0	0.0	309.0	309.0	303.0	0.0	0.0	618.0	62.0	18.0	901.0	110.0	41039.0	791.0	244.0	309.0	556.0	0.0	556.0	0.0	0.0	618.0	62.0	1963368		309	0.015738262006918722	1963059
human-Plate7-A9	193.0	671.0	671.0	317.0	137.0	808.0	532.0	0.0	404.0	404.0	317.0	0.0	0.0	808.0	137.0	585.0	1585.0	144.0	48948.0	1441.0	266.0	404.0	671.0	0.0	671.0	0.0	0.0	808.0	137.0	1269605		404	0.03182092068005403	1269201
human-Plate7-B1	44.0	177.0	177.0	70.0	49.0	226.0	128.0	0.0	113.0	113.0	70.0	0.0	0.0	226.0	49.0	41.0	193.0	44.0	13039.0	149.0	64.0	113.0	177.0	0.0	177.0	0.0	0.0	226.0	49.0	1103274		113	0.010242242634196038	1103161
human-Plate7-B10	745.0	4368.0	4368.0	2241.0	330.0	4698.0	4032.0	0.0	2349.0	2349.0	2241.0	0.0	0.0	4698.0	330.0	316.0	5515.0	390.0	324123.0	5125.0	2016.0	2349.0	4368.0	0.0	4368.0	0.0	0.0	4698.0	330.0	2664639		2349	0.0881545305011298	2662290
human-Plate7-B11	248.0	1334.0	1334.0	747.0	136.0	1470.0	1194.0	0.0	735.0	735.0	747.0	0.0	0.0	1470.0	136.0	148.0	2323.0	264.0	97607.0	2059.0	597.0	735.0	1334.0	0.0	1334.0	0.0	0.0	1470.0	136.0	2950440		735	0.024911538617968847	2949705
